0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.269366,-1.7694907,0.3861731,1.167741,0.76106614,0.28821105,-0.01370281,0.27654582,0.2827559,-1.2761742,2.4195862,-0.5521614,1.6158047,-0.20924097,-0.376904,-0.34698233,0.5309752,1.4006779,1.9100289,-0.64941025,0.24142113,-2.3889554,-0.26333588,-2.0564566,2.1889052,0.022165343,0.36708498,2.6156893,1.8635005,-0.5695564
-3.522857,-0.73251283,2.792126,-0.3979227,-1.2658563,-1.4474858,-1.8608689,-2.1624823,1.9789234,7.5746427,-4.0361333,-2.703117,1.5548868,1.6866648,-1.8287941,-1.4627001,-0.8455323,-1.8774028,-9.0082655,1.9936949,1.4076563,5.5503926,-1.6848733,-0.56112313,1.5501953,-1.5948925,2.7064538,-3.7870164,-2.4573226,4.6412506
-1.0766112,-0.27080834,0.24333754,0.037866957,0.36621755,-0.54149044,0.19565962,0.26803976,0.6609057,2.168974,-0.93978655,-0.6552185,1.0268422,0.60465294,-0.15473154,0.049703807,0.2923123,0.11715031,-2.3264015,-0.38050526,0.06480373,1.2331399,-0.0016825944,-0.3051571,0.38504913,-0.9530095,0.9260197,-0.7997089,-0.34497857,0.9867157
0.42952907,-0.7905179,-0.37386706,0.62203926,1.0664947,-0.013510615,0.68856895,0.9182443,0.011916729,-2.1118178,2.1035912,0.0049839243,1.1600554,0.025952756,0.1348351,0.22543319,0.8213482,1.5226338,2.6935005,-1.1760973,-0.1319784,-2.3704557,0.25508747,-0.9273988,0.6563676,-0.24107966,0.06275098,2.2332077,1.6353244,-0.6299727
-1.6925867,-0.4834078,1.2379477,0.0017258078,-0.3388977,-0.637577,-0.45177877,-0.57352114,1.2108598,3.61384,-1.6866448,-1.3381913,0.95115554,0.66877925,-0.8179632,-0.18239659,-0.16074657,-0.81489295,-4.2395353,0.48173165,0.61036015,2.6793113,-0.6436737,-0.6281479,1.0455801,-0.880291,1.5120682,-1.7353721,-1.055556,2.0736828
-3.522857,-0.73251283,2.792126,-0.3979227,-1.2658563,-1.4474858,-1.8608689,-2.1624823,1.9789234,7.5746427,-4.0361333,-2.703117,1.5548868,1.6866648,-1.8287941,-1.4627001,-0.8455323,-1.8774028,-9.0082655,1.9936949,1.4076563,5.5503926,-1.6848733,-0.56112313,1.5501953,-1.5948925,2.7064538,-3.7870164,-2.4573226,4.6412506
-1.756895,-0.48199475,1.317901,-0.025084533,-0.5368892,-0.72042376,-0.8135162,-0.9622541,0.9930086,3.6664505,-1.9292529,-1.3132355,1.0098546,0.774309,-0.809067,-0.58459425,-0.28645217,-0.814169,-4.2778487,0.8131875,0.5922823,2.5841546,-0.7505924,-0.4341265,0.91118515,-0.8502714,1.3721585,-1.7851143,-0.9451897,2.2698772
-0.08974908,-0.6635533,0.27950534,0.4313898,0.5629721,-0.17573568,0.28581,0.3915351,0.36226025,-0.18859875,0.652301,-0.4384132,0.987869,0.17881933,-0.14081326,0.061445154,0.45548254,0.67618495,0.5113676,-0.57473564,0.09103919,-0.8202916,-0.14152543,-0.8208562,0.7791095,-0.41229665,0.43052727,0.80440617,0.8362244,-0.00082960725
-1.2033191,-0.81507343,1.2470894,0.33997536,-0.2342653,-0.3343956,-0.52823246,-0.6579353,0.90605366,1.0855294,0.088596344,-1.1727493,1.0378333,0.36358905,-0.7754431,-0.3484656,-0.13251022,-0.167768,-1.3789196,0.37463242,0.57303923,0.66169333,-0.7875448,-0.8556026,1.229084,-0.35693115,1.1593913,0.07479888,0.06355633,1.4428943
-1.3299927,-0.381553,0.37342438,0.08844536,0.3883878,-0.5645755,0.19972347,0.16049181,0.81736344,1.8769697,-0.62521374,-0.81871516,1.1876745,0.6746933,-0.3124481,0.09009188,0.2607351,0.23459041,-2.0028365,-0.41202658,0.18414426,1.0333617,-0.10023533,-0.339369,0.4982989,-0.95973015,1.1413143,-0.51027125,-0.20141885,1.2537069
0.19518025,-2.2761192,1.376429,1.3169073,0.66584486,0.09152081,-0.36890042,-0.09973779,0.7946482,-3.2605724,4.2020946,-1.1460438,1.7750981,-0.0798008,-0.9572827,-0.68458223,0.50934905,1.7048478,3.8532202,-0.42453384,0.79926276,-3.7004948,-1.1721573,-2.754609,3.03859,0.22458316,0.8503356,4.156101,2.6352854,-0.37240034
0.10704492,-1.7685059,0.88908815,1.0691419,0.5783744,0.1378406,-0.1968532,0.08674438,0.544364,-1.6039037,2.6286716,-0.88587934,1.4942839,-0.10137205,-0.6404241,-0.43890297,0.4100369,1.2223289,2.1376896,-0.4332825,0.5023078,-2.3911867,-0.7071821,-2.1075833,2.2584302,0.03310646,0.62883216,2.7350993,1.8215498,-0.31781495
-1.9976507,-0.4529292,1.9164985,-0.17682523,-0.79993427,-0.8547176,-0.94695175,-1.0812789,1.3656566,5.042535,-2.6976895,-1.6573002,0.8898538,0.89817256,-1.0590671,-0.57203865,-0.4020433,-1.4148211,-5.9926043,1.1265223,0.80259115,3.8245847,-1.0458612,-0.5941327,1.1848578,-1.0176357,1.6888396,-2.7129674,-1.6286566,2.6525893
-3.522857,-0.73251283,2.792126,-0.3979227,-1.2658563,-1.4474858,-1.8608689,-2.1624823,1.9789234,7.5746427,-4.0361333,-2.703117,1.5548868,1.6866648,-1.8287941,-1.4627001,-0.8455323,-1.8774028,-9.0082655,1.9936949,1.4076563,5.5503926,-1.6848733,-0.56112313,1.5501953,-1.5948925,2.7064538,-3.7870164,-2.4573226,4.6412506
-1.5460278,-0.9351682,1.517994,0.31401235,-0.48306686,-0.3552121,-0.7233227,-0.79389447,1.2451763,3.702383,-1.3575914,-1.5124612,1.0335909,0.38017887,-1.0674961,-0.41528335,-0.2679538,-0.88096225,-4.369685,0.6870516,0.798667,2.5536187,-0.82424885,-1.1704134,1.6811883,-0.5996771,1.518638,-1.3905418,-0.892943,2.0215788
0.6330505,-2.2709768,0.63076574,1.4522684,0.9975025,0.3138291,-0.06377624,0.29867107,0.33215013,-3.4807873,4.285217,-0.68086845,1.8517166,-0.23954955,-0.5565214,-0.5613282,0.69442505,2.1092117,4.356109,-0.83374226,0.44508794,-4.2337985,-0.6398529,-2.666726,2.7680514,0.26901186,0.3732974,4.4154024,2.9537826,-1.0228922
1.0421067,-1.0633302,-1.459734,0.82732534,2.1732473,-0.008134507,1.5536996,1.9783283,-0.44340846,-2.6403427,2.5362775,0.4939437,1.7911189,0.22947428,0.65527976,0.46658704,1.4979475,2.7201903,3.6643026,-2.3755445,-0.55666035,-3.5636172,0.9702934,-1.1605697,0.59550416,-0.5300211,-0.34150964,2.9562864,2.5331714,-1.5885041
-3.522857,-0.73251283,2.792126,-0.3979227,-1.2658563,-1.4474858,-1.8608689,-2.1624823,1.9789234,7.5746427,-4.0361333,-2.703117,1.5548868,1.6866648,-1.8287941,-1.4627001,-0.8455323,-1.8774028,-9.0082655,1.9936949,1.4076563,5.5503926,-1.6848733,-0.56112313,1.5501953,-1.5948925,2.7064538,-3.7870164,-2.4573226,4.6412506
-1.1999986,0.21532533,0.008366935,-0.28974026,0.24580926,-0.80312234,0.28517866,0.21578132,0.5314137,2.5740726,-1.8322835,-0.41487658,0.7958946,0.8168001,0.02790051,0.2385052,0.2857007,-0.1673953,-2.7262383,-0.2880996,-0.07091393,1.8627291,0.1758863,0.28469366,-0.21933539,-1.1335301,0.83306324,-1.6943082,-0.69008845,1.3334674
1.3432906,-2.2920763,-0.4786091,1.8724129,2.0516791,0.87315834,0.8866336,1.339193,-0.37885645,-6.579154,6.3926086,0.10509908,2.286092,-0.6905666,0.2743213,-0.03745225,1.2850742,3.6520965,8.040382,-2.103826,-0.33764496,-6.907275,0.16546749,-2.4323788,2.1348205,0.5856121,-0.35518575,6.676309,4.3539248,-2.4850054
-3.522857,-0.73251283,2.792126,-0.3979227,-1.2658563,-1.4474858,-1.8608689,-2.1624823,1.9789234,7.5746427,-4.0361333,-2.703117,1.5548868,1.6866648,-1.8287941,-1.4627001,-0.8455323,-1.8774028,-9.0082655,1.9936949,1.4076563,5.5503926,-1.6848733,-0.56112313,1.5501953,-1.5948925,2.7064538,-3.7870164,-2.4573226,4.6412506
-3.522857,-0.73251283,2.792126,-0.3979227,-1.2658563,-1.4474858,-1.8608689,-2.1624823,1.9789234,7.5746427,-4.0361333,-2.703117,1.5548868,1.6866648,-1.8287941,-1.4627001,-0.8455323,-1.8774028,-9.0082655,1.9936949,1.4076563,5.5503926,-1.6848733,-0.56112313,1.5501953,-1.5948925,2.7064538,-3.7870164,-2.4573226,4.6412506
-1.8460904,-0.5778927,1.6861626,-0.037618198,-0.6039872,-0.7621639,-0.92841583,-0.9980878,1.1881979,3.8121462,-1.8072505,-1.5709426,1.0209849,0.8061245,-0.97202474,-0.7486359,-0.34393495,-0.9373429,-4.5428605,0.9339782,0.7334307,2.749554,-1.0150096,-0.62762845,1.1050314,-0.8791468,1.543764,-1.7188425,-1.0991654,2.330909
0.5946062,-2.2755864,0.6750332,1.436766,0.9632984,0.2877607,-0.09547739,0.26825154,0.36845118,-3.2497106,4.1381984,-0.7246124,1.851026,-0.21119776,-0.59645265,-0.57729125,0.6748258,2.038217,4.0864234,-0.7908639,0.4798067,-4.0632157,-0.6645027,-2.6748729,2.7929275,0.2335787,0.4145162,4.266549,2.8703318,-0.9490619
0.44366753,-1.9243016,0.6858246,1.3006268,0.9689979,0.384899,0.09434585,0.42468685,0.32400152,-3.543717,4.0350275,-0.68505806,1.6582363,-0.33082795,-0.39971772,-0.33070478,0.62412775,1.9353397,4.3058586,-0.87832725,0.28081778,-3.9144258,-0.6182571,-2.2369628,2.2267294,0.31547946,0.39078492,4.145988,2.6380394,-0.98073244
-1.3103055,-0.32524338,0.3160635,0.05653666,0.45932788,-0.6088397,0.25012243,0.24994488,0.797756,1.8703498,-0.63765603,-0.7725466,1.2061976,0.71320575,-0.24154416,0.0974872,0.3250583,0.3110566,-1.998179,-0.48088634,0.12752876,0.9933362,-0.062786385,-0.28598648,0.41584387,-1.0246104,1.1186566,-0.5027521,-0.18971032,1.1768045
-0.60126793,-1.7291894,1.6742752,0.78340995,-0.15383041,-0.24963215,-0.80656165,-0.6249073,1.101892,2.1030073,0.21938938,-1.4760089,1.3538418,0.26761824,-1.2705356,-0.68539333,0.03782993,-0.082933635,-2.2169878,0.47002888,1.0403847,0.55158806,-1.0900424,-2.134131,2.6556368,-0.40817553,1.2474129,0.26205623,0.3632233,1.1788031
-1.1392049,0.25079086,-0.38825443,-0.31133932,0.7137343,-0.8841305,0.65878195,0.66141444,0.37836662,2.3427896,-1.644598,-0.22720861,1.0891922,1.0149701,0.2526865,0.39362055,0.5883977,0.40039784,-2.217535,-0.7751488,-0.26995817,1.3508804,0.476018,0.4499393,-0.4977406,-1.3900031,0.7341555,-1.3579695,-0.41271383,1.0975313
-0.30500263,-1.4210069,-0.008952983,0.77671224,0.38338095,-0.14771374,-0.30352223,0.014577538,0.37211612,4.8699636,-2.223041,-0.6583235,1.6484084,0.2932933,-0.36979488,-0.44203678,0.30822146,0.07617766,-4.347836,-0.21478865,0.24732137,1.3809681,0.20821625,-1.5015634,1.7398696,-0.9579089,0.57048106,-1.5649991,0.11007883,0.706737
-3.522857,-0.73251283,2.792126,-0.3979227,-1.2658563,-1.4474858,-1.8608689,-2.1624823,1.9789234,7.5746427,-4.0361333,-2.703117,1.5548868,1.6866648,-1.8287941,-1.4627001,-0.8455323,-1.8774028,-9.0082655,1.9936949,1.4076563,5.5503926,-1.6848733,-0.56112313,1.5501953,-1.5948925,2.7064538,-3.7870164,-2.4573226,4.6412506
-0.845197,-0.835626,0.81422204,0.44797388,0.4371149,-0.26705885,0.033172086,0.098694414,0.7980901,0.17415911,0.978808,-0.94026524,1.3032849,0.3617676,-0.458703,-0.08229835,0.29557207,0.6349558,-0.12808937,-0.3717122,0.30451924,-0.42506272,-0.47057706,-0.92358816,1.0837123,-0.5668696,1.0018431,1.0329024,0.5734849,0.6735388
1.0421067,-1.0633302,-1.459734,0.82732534,2.1732473,-0.008134507,1.5536996,1.9783283,-0.44340846,-2.6403427,2.5362775,0.4939437,1.7911189,0.22947428,0.65527976,0.46658704,1.4979475,2.7201903,3.6643026,-2.3755445,-0.55666035,-3.5636172,0.9702934,-1.1605697,0.59550416,-0.5300211,-0.34150964,2.9562864,2.5331714,-1.5885041
